Name
Aamon
Abaddon
Abezethibou
Abraxas
Abyzou
Adrammelech
Aeshma
Agaliarept
Agares
Agiel
Ahriman
Angra Mainyu
Aim
Aim
Aka Manah
Akem Manah
Akoman
Akvan
Ala
Alal
Alastor
Allocer
Allocer
Al
Amaymon
Amdusias
Amy
Anammelech
Andhaka
Andras
Andrealphus
Andromalius
Antichrist
Zu
Armaros
Arunasura
Asag
Asakku
Asb'el
Asmodai
Asmodeus
Astaroth
Asura
Azazel
Azaz'el
Azi Dahaka
Zahhak
Baal
Baal
Babi ngepet
Bakasura
Baku
Balam
Balberith
Bali Raj
Banshee
Baphomet
Barbas
Barbatos
Bathin
Mathim
Bathym
Marthim
Beelzebub
Behemoth
Belial
Beleth
Belphegor
Berith
Beherit
Bhoot
Botis
Buer
Bukavac
Bune
Bushyasta
Caim
Camio
Charun
Chemosh
Choronzon
Cimejes
Kimaris
Cimeies
Corson
Crocell
Crocell
Culsu
Daeva
Dagon
Dajjal
Dantalion
Danjal
Decarabia
Demiurge
Demogorgon
Devil
Div-e Sepid
Drekavac
Dzoavits
Devil
Iblis
Eligos
Eisheth
Focalor
Foras
Forras
Forneus
Furcas
Furcas
Furfur
Gaap
Gadreel
Preta
Gamigin
Ghoul
Glasya-Labolas
Caacrinolaas
Caassimolar
Classyalabolas
Gorgon
Gremory
Gremory
Grigori
Gualichu
Guayota
Gusion
Gusoin
Gusoyn
Haagenti
Halphas
Flauros
Flauros
Flauros
Flauros
Flauros
Hinn
Ifrit
Incubus
Ipos
Ipos
Jinn
Jikininki
Kabandha
Kabhanda
Kali
Kasadya
Kokabiel
Kroni
Krampus
Kukudh
Kumbhakarna
Legion
Lechies
Leyak
Lempo
Leraje
Leraie
Leviathan
Lilin
Lilin
Lilim
Lilith
Ljubi
Lucifer
Malphas
Mammon
Mara
Maricha
Morax
Morax
Foraii
Marchosias
Ad-Dajjal
Dajjal
Mastema
Mephistopheles
Merihem
Moloch
Murmur
Naamah
Naberius
Naberius
Naberius
Ninurta
Namtar
Oni
Onoskelis
Orcus
Orias
Orias
Orobas
Ose
Ördög
O Tokata
Paimon
Pazuzu
Pelesit
Phenex
Penemue
Pithius
Pocong
Preta
Pruflas
Puloman
Rahab
Raum
Ronove
Rusalka
Rakshasa
Rangda
Sabnock
Saleos
Samael
Satan
Iblis
Seir
Semyaza
Shax
Shaitan
Shedim
Silver
Sitri
Sthenno
Stihi
Stolas
Stolas
Suanggi
Succubus
Surgat
Tannin
El Tío
Titivillus
Toyol
Tuchulcha
Ukobach
Valac
Valefar
Malaphar
Malephar
Vanth
Vapula
Vassago
Vepar
Vine
Wendigo
Yeqon
Zagan
Zepar
Ziminiar
Demonology
Fallen angel
Hell
Jinn
